ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
CD22,0.15289453461961688,7.05171030038467,1.5758037880097442,0.11568521945906685,0.9999970699667557,-4.3159674868023314
GMPPA,-0.13179242742961605,9.149367054240576,-1.5757993250607722,0.11568624840643994,0.9999970699667557,-4.315972102337718
CPEB1,-0.16409151222645857,6.821921569183303,-1.5753544093330059,0.11578886139165667,0.9999970699667557,-4.316432164788823
CLCN7,-0.10870614001057533,9.974928482339758,-1.5738335468076412,0.11614016693367521,0.9999970699667557,-4.318003835162538
ZNF76,-0.09940470319878969,8.442161872387405,-1.5729134017868804,0.11635311965953422,0.9999970699667557,-4.318953992122893
WFDC2,0.14706544556306067,7.147644610004637,1.5708734877220485,0.11682632195727084,0.9999970699667557,-4.3210584850347455
SUPT16H,0.0689953536076704,9.495215147238953,1.5708182702084152,0.11683915189583019,0.9999970699667557,-4.321115413126464
SCAMP2,-0.06510353382009804,8.064251356040401,-1.5705395569608493,0.11690392861076286,0.9999970699667557,-4.321402730453526
LRRC15,-0.13255767919297945,8.098516671297922,-1.5704728813845654,0.1169194291049562,0.9999970699667557,-4.3214714568925165
ULK1,-0.13571627762309468,9.310220354966798,-1.5700638203039101,0.11701456155929776,0.9999970699667557,-4.3218930371684054
SLITRK3,0.1494500904430609,5.680735942525407,1.5697688381767128,0.11708320129435956,0.9999970699667557,-4.3221969798564635
CACNA1H,-0.11592800783173729,7.777031239185854,-1.5690190480521988,0.11725781355023425,0.9999970699667557,-4.322969292287643
MEOX1,0.13474662815423777,7.153712251325938,1.5688529177716608,0.11729652995306653,0.9999970699667557,-4.323140363517707
FAM129A,0.14140106786036633,8.888968295333665,1.5687708594246488,0.11731565723583937,0.9999970699667557,-4.323224855797916
CDH5,-0.14039152988728532,8.050454021871868,-1.5687109029106476,0.1173296342733173,0.9999970699667557,-4.323286587923978
KRT7,0.1882842570766634,9.692667386339613,1.5679342689833895,0.11751080134747369,0.9999970699667557,-4.324086011366241
SSR4,0.09651588131086086,11.121941277178449,1.5675527314977922,0.11759988404336556,0.9999970699667557,-4.324478601509466
HIST1H4D,0.161420004132097,6.36359524967096,1.5671741315632828,0.11768833340177172,0.9999970699667557,-4.324868075765116
KRT3,0.1366634702319276,5.499503190131326,1.566976558744706,0.11773451158843684,0.9999970699667557,-4.325071286479274
CYP4F3,0.17410986535270023,5.437247317647414,1.5669269797291712,0.11774610180203685,0.9999970699667557,-4.3251222763009585
PKNOX1,-0.05042502921069669,8.010445784782904,-1.5664597716020832,0.11785536634861637,0.9999970699667557,-4.32560270094035
HNRNPK,0.0760406764642898,9.762713254325725,1.566132160118919,0.11793203142948683,0.9999970699667557,-4.325939495621867
MGAT5,0.09882565070071259,7.70195801812512,1.564915117855368,0.11821717785859484,0.9999970699667557,-4.327190043412678
FAM155A,-0.12267401558511803,7.205817706876005,-1.5642908002751648,0.11836366241641699,0.9999970699667557,-4.327831176162625
CALHM2,-0.08712194830374997,8.201124359123234,-1.5639427597766293,0.11844538563030861,0.9999970699667557,-4.32818848102052
TIAL1,0.11736385298025276,8.163144673496966,1.5636707210446879,0.11850929380189981,0.9999970699667557,-4.32846770639269
